Name,Score,Age,Subject,Sex,ID
AI-KYUNG CHUNG,88.0,18,Maths,M,1
ALAN HARVEY,85.0,19,Maths,M,2
ALAN REYNAUD,45.0,19,Maths,M,3
ALBERT CENDANA,82.0,18,Maths,M,4
ALBERT HOLT JR,82.0,18,Maths,F,5
ALBERT PARDINI,95.0,20,Maths,M,6
ALBERT YU,95.0,18,Maths,M,7
ALBERTO PEDRUCO,65.0,19,Maths,M,8
ALEC BALMY,88.0,18,Maths,M,9
ALEETA VAN RUNKLE,88.0,19,Maths,F,10
ALEX TSE,53.0,20,Maths,M,11
ALEXANDER CHEN,53.0,20,Maths,M,12
ALEXANDER KWAN,66.0,19,Maths,M,13
ALEXIS GOLDNER,88.0,18,Maths,M,14
ALLEN TURPIN,88.0,21,Maths,F,15
ALSON LEE,82.0,20,Maths,M,16
ALVIN LAU,31.0,18,Maths,M,17
AMEN CHOW,95.0,18,Maths,M,18
AMPARO RODRIGUEZ,91.0,18,Maths,M,19
AMY BROWN,66.0,18,Maths,F,20
AMY HART,82.0,18,Maths,M,21
ANA SAMPERA,66.0,18,Maths,M,22
ANDRE ANDREWS SR,75.0,18,Maths,M,23
ANDRE WILLIAMS,65.0,19,Maths,M,24
ANDREW LOGAN,91.0,20,Maths,F,25
ANDREW SAITZ,91.0,18,Maths,M,26
ANDY ZANOFF,53.0,20,Maths,M,27
ANGELA PLATZER,91.0,20,Maths,M,28
ANN MANNIX,88.0,21,Maths,M,29
ANNA BROWN,85.0,19,Maths,F,30
ANNE KRONENBERG,75.0,20,Maths,M,31
ANNETTE HOBRUCKER-PFEIFER,66.0,21,Maths,M,32
ANTHONY DUMONT,45.0,19,Maths,M,33
ANTHONY ROBINSON,66.0,18,Maths,M,34
ANTONIO FLORES,53.0,20,Maths,F,35
ANTONIO PARRA,65.0,19,Maths,M,36
ANTONIO SANTIAGO,53.0,18,Maths,M,37
ARNIE LEE,75.0,20,Maths,M,38
ARNOLD CHOY,45.0,18,Maths,M,39
ARTHUR BORGES,66.0,19,Maths,F,40
ARTHUR KENNEY,75.0,20,Maths,M,41
ARTHUR STELLINI,95.0,20,Maths,M,42
ATTICA BOWDEN,65.0,21,Maths,M,43
BARBARA GARCIA,85.0,18,Maths,M,44
BARBARA HALE,82.0,20,Maths,F,45
BARBARA SCHULTHEIS,65.0,21,Maths,M,46
BARRY BLOOM,85.0,21,Maths,M,47
BENJAMIN ROSENFIELD,82.0,18,Maths,M,48
BERGLIOTH MATHEWS,65.0,18,Maths,M,49
BERT REYES,66.0,19,Maths,F,50
BOND YEE,82.0,18,Maths,M,51
BONNIE TAYLOR,88.0,19,Maths,M,52
BRADEN WOODS,,19,Maths,M,53
BRENDAN MCGORRIN,95.0,20,Maths,M,54
BRENDAN WARD,88.0,21,Maths,F,55
BRIAN DELAHUNTY,91.0,18,Maths,M,56
BRIAN MURPHY,53.0,20,Maths,M,57
BRIAN PHILPOTT,75.0,20,Maths,M,58
BRODERICK TOPPS,75.0,20,Maths,M,59
BRONWYN GUNDOGDU,95.0,18,Maths,F,60
BROOK MANCINELLI,88.0,19,Maths,M,61
BRYAN MAR,53.0,18,Maths,M,62
BRYAN RUBENSTEIN,82.0,20,Maths,M,63
BURK DELVENTHAL,82.0,18,Maths,M,64
C PETRUZZELLA,85.0,21,Maths,F,65
CANTREZ TRIPLETT,45.0,21,Maths,M,66
CARL FABBRI,75.0,20,Maths,M,67
CARL JEPSEN,66.0,21,Maths,M,68
CARLOS GUTIERREZ,45.0,19,Maths,M,69
CATHERINE JAMES,75.0,20,Maths,F,70
CHAD LAW,53.0,20,Maths,M,71
CHARLES CRANE,65.0,21,Maths,M,72
CHARLES SCOTT,53.0,20,Maths,M,73
CHARLES STINSON,85.0,19,Maths,M,74
CHARLIE ORKES,82.0,18,Maths,F,75
CHRIS VEIN,95.0,20,Maths,M,76
CHRISTIANE HAYASHI,66.0,19,Maths,M,77
CHRISTINE WINKLER,53.0,20,Maths,M,78
CHRISTOPHER CHONG,65.0,18,Maths,M,79
CHRISTOPHER HAZEN,85.0,19,Maths,F,80
CHUTEH KOTAKE,88.0,19,Maths,M,81
CLEMENTINO AVILA II,95.0,18,Maths,M,82
CLYDE CHRISTOBAL,53.0,20,Maths,M,83
COLLEEN RILEY,45.0,19,Maths,M,84
CRISTINA REYES,45.0,21,Maths,F,85
CROCE CASCIATO,85.0,18,Maths,M,86
CURTIS LUM,45.0,19,Maths,M,87
DALE CARNES,85.0,21,Maths,M,88
DAMON HART,45.0,18,Maths,M,89
DANIEL ARMENTA,45.0,21,Maths,F,90
DANIEL COX,85.0,19,Maths,M,91
DANIEL CUNNINGHAM,88.0,19,Maths,M,92
DANIEL DEDET,85.0,19,Maths,M,93
DANIEL MAHONEY,91.0,18,Maths,M,94
DANIEL MOLLOY,65.0,19,Maths,F,95
DANIEL SCDORIS,75.0,18,Maths,M,96
DANIEL YONTS,88.0,19,Maths,M,97
DARCY KELLER,95.0,18,Maths,M,98
DARREN CHOY,65.0,21,Maths,M,99
DARRYL HUNTER,65.0,19,Maths,F,100
DAVID BRIGGS,45.0,18,Maths,M,101
DAVID FRANKLIN,53.0,20,Maths,M,102
DAVID HAWKINS,95.0,18,Maths,M,103
DAVID KUSHNER,66.0,21,Maths,M,104
DAVID LAZAR,82.0,18,Maths,F,105
DAVID OWEN,65.0,19,Maths,M,106
DAVID PFEIFER,45.0,21,Maths,M,107
DAVID SHINN,85.0,21,Maths,M,108
DAVID SULLIVAN,45.0,19,Maths,M,109
DAVID THOMPSON,85.0,21,Maths,F,110
DAVID ZWYER,65.0,21,Maths,M,111
DEBBIE TAM,85.0,18,Maths,M,112
DEBORAH BORNE,88.0,19,Maths,M,113
DEBORAH JETER,45.0,19,Maths,M,114
DEBORAH LOGAN,95.0,20,Maths,F,115
DEBRA JOHNSON,88.0,21,Maths,M,116
DENIS JOYCE,75.0,18,Maths,M,117
DENIS OLEARY,53.0,20,Maths,M,118
DENISE BAILEY,82.0,20,Maths,M,119
DENISE NEWMAN,85.0,21,Maths,F,120
DENISE SCHMITT,91.0,18,Maths,M,121
DENNIS HERRERA,88.0,18,Maths,M,122
DENNIS MARTINEZ,85.0,21,Maths,M,123
DENNIS O'NEILL,45.0,19,Maths,M,124
DENNIS SUTTER,53.0,18,Maths,F,125
DEREK WING,95.0,20,Maths,M,126
DERIO DITO,45.0,21,Maths,M,127
DIANA GUEVARA,75.0,20,Maths,M,128
DOMINIC CELAYA,66.0,21,Maths,M,129
DONALD BRYANT,75.0,18,Maths,F,130
DONALD FIELDS,66.0,18,Maths,M,131
DONALD MARGOLIS,75.0,20,Maths,M,132
DONALDSON SHUMPERT,53.0,18,Maths,M,133
DONNA LEE,85.0,18,Maths,M,134
DONNA MEIXNER,85.0,18,Maths,F,135
DONNIE HORNBUCKLE,65.0,21,Maths,M,136
DOUGLAS MCEACHERN,65.0,21,Maths,M,137
DOUGLAS RIBA,91.0,20,Maths,M,138
DUSTIN NOVO,85.0,21,Maths,M,139
