Name,Score,Age,Subject,Sex,ID
AI-KYUNG CHUNG,84.0,18,Physics,M,1
ALAN HARVEY,81.0,19,Physics,M,2
ALAN REYNAUD,41.0,19,Physics,M,3
ALBERT CENDANA,78.0,18,Physics,M,4
ALBERT HOLT JR,78.0,18,Physics,F,5
ALBERT PARDINI,91.0,20,Physics,M,6
ALBERT YU,91.0,18,Physics,M,7
ALBERTO PEDRUCO,61.0,19,Physics,M,8
ALEC BALMY,84.0,18,Physics,M,9
ALEETA VAN RUNKLE,84.0,19,Physics,F,10
ALEX TSE,49.0,20,Physics,M,11
ALEXANDER CHEN,49.0,20,Physics,M,12
ALEXANDER KWAN,62.0,19,Physics,M,13
ALEXIS GOLDNER,84.0,18,Physics,M,14
ALLEN TURPIN,84.0,21,Physics,F,15
ALSON LEE,78.0,20,Physics,M,16
ALVIN LAU,,18,Physics,M,17
AMEN CHOW,91.0,18,Physics,M,18
AMPARO RODRIGUEZ,87.0,18,Physics,M,19
AMY BROWN,62.0,18,Physics,F,20
AMY HART,78.0,18,Physics,M,21
ANA SAMPERA,62.0,18,Physics,M,22
ANDRE ANDREWS SR,71.0,18,Physics,M,23
ANDRE WILLIAMS,61.0,19,Physics,M,24
ANDREW LOGAN,87.0,20,Physics,F,25
ANDREW SAITZ,87.0,18,Physics,M,26
ANDY ZANOFF,49.0,20,Physics,M,27
ANGELA PLATZER,87.0,20,Physics,M,28
ANN MANNIX,84.0,21,Physics,M,29
ANNA BROWN,81.0,19,Physics,F,30
ANNE KRONENBERG,71.0,20,Physics,M,31
ANNETTE HOBRUCKER-PFEIFER,62.0,21,Physics,M,32
ANTHONY DUMONT,41.0,19,Physics,M,33
ANTHONY ROBINSON,94.0,18,Physics,M,34
ANTONIO FLORES,49.0,20,Physics,F,35
ANTONIO PARRA,61.0,19,Physics,M,36
ANTONIO SANTIAGO,49.0,18,Physics,M,37
ARNIE LEE,71.0,20,Physics,M,38
ARNOLD CHOY,41.0,18,Physics,M,39
ARTHUR BORGES,62.0,19,Physics,F,40
ARTHUR KENNEY,71.0,20,Physics,M,41
ARTHUR STELLINI,91.0,20,Physics,M,42
ATTICA BOWDEN,61.0,21,Physics,M,43
BARBARA GARCIA,81.0,18,Physics,M,44
BARBARA HALE,78.0,20,Physics,F,45
BARBARA SCHULTHEIS,61.0,21,Physics,M,46
BARRY BLOOM,81.0,21,Physics,M,47
BENJAMIN ROSENFIELD,78.0,18,Physics,M,48
BERGLIOTH MATHEWS,61.0,18,Physics,M,49
BERT REYES,62.0,19,Physics,F,50
BOND YEE,78.0,18,Physics,M,51
